id;nazev_cz;nazev_latinsky;nazev_anglicky;min_delka_cm;doba_hajeni_od;doba_hajeni_do;fotografie
1;Amur bílý;Ctenopharyngodon idella – Valenciennes;Grass carp;70;;;"[""amur_bily_00.jpg"",""amur_bily_01.jpg"",""amur_bily_02.jpg"",""amur_bily_03.jpg"",""amur_bily_04.jpg"",""amur_bily_05.jpg"",""amur_bily_06.jpg""]"
2;Bolen dravý;Aspius aspius;Asp;40;1. ledna;15. června;"[""bolen_dravy_00.jpg"",""bolen_dravy_01.jpg"",""bolen_dravy_02.jpg"",""bolen_dravy_03.jpg"",""bolen_dravy_04.jpg"",""bolen_dravy_05.jpg""]"
3;Candát obecný;Sander lucioperca;Pike perch;45;1. ledna;15. června;"[""candat_obecny_00.jpg"",""candat_obecny_01.jpg"",""candat_obecny_03.jpg"",""candat_obecny_04.jpg""]"
4;Cejn perleťový;Abramis sapa;Whiteye bream;;Celoročně;chráněný;"[""cejn_perletovy_00.jpg"",""cejn_perletovy_02.jpg"",""cejn_perletovy_03.jpg"",""cejn_perletovy_04.jpg"",""cejn_perletovy_05.jpg""]"
5;Cejn velký;Abramis brama;Bream;;;;"[""cejn_velky_00.jpg"",""cejn_velky_01.jpg"",""cejn_velky_02.jpg"",""cejn_velky_03.jpg"",""cejn_velky_04.jpg""]"
6;Hlavatka obecná;Hucho hucho;Common huchen;65;1. ledna;30. září;"[""hlavatka_obecna_00.jpg"",""hlavatka_obecna_01.jpg"",""hlavatka_obecna_02.jpg"",""hlavatka_obecna_03.jpg""]"
7;Hrouzek obecný;Gobio gobio;Gudgeon;;;;"[""hrouzek_obecny_00.jpg"",""hrouzek_obecny_01.jpg"",""hrouzek_obecny_02.jpg"",""hrouzek_obecny_03.jpg"",""hrouzek_obecny_04.jpg""]"
8;Jelec tloušť;Leuciscus cephalus;Chub;25;16. března;15. června;"[""jelec_tloust_00.jpg"",""jelec_tloust_01.jpg"",""jelec_tloust_02.jpg"",""jelec_tloust_03.jpg"",""jelec_tloust_04.jpg""]"
9;Drsek menší;Zingel streber;Streber;;Celoročně;chráněný;"[""drsek_mensi_00.jpg"",""drsek_mensi_02.jpg"",""drsek_mensi_03.jpg"",""drsek_mensi_04.jpg"",""drsek_mensi_05.jpg"",""drsek_mensi_06.jpg""]"
10;Jelec jesen;Leuciscus idus;Ide;25;Celoročně;chráněný;"[""jelec_jesen_00.jpg"",""jelec_jesen_02.jpg"",""jelec_jesen_03.jpg"",""jelec_jesen_04.jpg""]"
11;Jelec proudník;Leuciscus leuciscus;Dace;25;;;"[""jelec_proudnik_00.jpg"",""jelec_proudnik_02.jpg"",""jelec_proudnik_03.jpg""]"
12;Jeseter malý;Acipenser ruthenus;Sterlet;30;16. března;15. června;"[""jeseter_maly_00.jpg"",""jeseter_maly_02.jpg"",""jeseter_maly_03.jpg"",""jeseter_maly_04.jpg"",""jeseter_maly_05.jpg"",""jeseter_maly_06.jpg""]"
13;Ježdík obecný;Gymnocephalus cernuus;Ruffe;;;;"[""jezdik_obecny_00.jpg"",""jezdik_obecny_02.jpg"",""jezdik_obecny_03.jpg"",""jezdik_obecny_04.jpg"",""jezdik_obecny_05.jpg""]"
14;Kapr obecný;Cyprinus carpio;Carp;40;;;"[""kapr_obecny_00.jpg"",""kapr_obecny_02.jpg"",""kapr_obecny_03.jpg"",""kapr_obecny_04.jpg"",""kapr_obecny_05.jpg"",""kapr_obecny_06.jpg""]"
